words,embeddings
2 girls 1 cup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
aSanchez,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
ass,"tensor([ 5.2501e-02, -6.3272e-01,  6.8001e-01, -9.7070e-01, -9.0732e-01,
         1.5615e-01, -1.7836e-02,  1.3188e-01,  7.7814e-02, -7.6276e-04,
         1.9411e-01,  1.0424e-01,  1.3669e-01,  3.2717e-01,  1.0489e-01,
         9.8453e-01, -3.5123e-01,  5.2973e-01, -2.5931e-01,  4.2819e-02,
         4.0494e-01,  4.4840e-01, -3.8579e-01,  2.6840e-02,  3.6473e-01,
         1.2051e+00, -5.8637e-01,  3.5738e-01,  1.7861e-01, -1.0666e-01,
        -1.2434e-01,  6.7217e-01,  7.5831e-01,  6.0432e-01, -7.1237e-01,
        -4.6102e-01, -1.1221e+00,  9.7558e-01,  1.9921e-01, -4.8930e-01,
         5.2286e-01,  3.4465e-01, -4.0643e-01, -2.7511e-01, -1.1100e+00,
        -4.8451e-01, -3.9767e-01,  1.2737e-01, -4.6866e-01,  6.1479e-02,
        -1.0222e+00, -3.8600e-02, -9.4045e-02,  3.2448e-01, -1.3184e+00,
        -9.4045e-02, -3.6652e-01,  9.7603e-01,  2.0379e-01, -6.3661e-01,
         1.1383e+00,  2.7079e-01, -3.7077e-01,  2.3772e-01,  6.7475e-01,
         3.6288e-02,  8.0085e-02, -4.4859e-01,  8.6609e-02, -7.6082e-01,
        -4.7289e-02, -2.2497e-01,  7.6174e-01, -4.2288e-01, -1.5191e-01,
        -2.2260e-01, -1.0724e+00,  4.8893e-01,  1.1156e-01, -1.8138e-02,
         1.1433e-02, -8.3443e-02,  4.3525e-01, -2.3607e-01, -1.4930e-02,
        -2.6432e-01, -3.0930e-01, -5.5177e-01, -3.7862e-01, -3.6087e-01,
        -4.7292e-01,  3.1212e-02,  2.0284e-01, -4.6328e-01,  1.4464e-01,
        -6.2744e-01, -4.2616e-01,  3.8713e-01,  1.9433e-01, -1.6941e-01])"
ass-fucker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
assbang,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
assbanged,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
asses,"tensor([-0.2233, -0.0349,  0.7388, -0.2708, -1.0501,  0.0931, -0.3452,  0.5731,
        -0.3572,  0.1479, -0.4891,  0.6738,  0.2991, -0.1274,  0.0297, -0.0643,
        -0.1238,  0.9283, -0.1503, -0.1715,  0.1698, -0.0259,  0.6371, -0.1093,
        -0.1760,  0.3611, -0.4537,  0.9529, -0.0068, -0.1583,  0.0448, -0.6266,
         0.2359,  0.2883, -0.4893, -0.3445, -0.6001,  0.4398,  0.0484, -0.1795,
         0.4092, -0.1075, -0.1610, -0.3893, -0.9450, -0.2019, -1.0589,  0.0546,
        -0.7183, -0.1666, -0.5589,  0.2595, -0.3924,  0.3557, -0.3600,  0.7058,
         0.2846,  0.2789, -0.0967, -0.4548,  0.0348,  0.6290, -0.5380,  0.2449,
         0.4939, -0.0300, -0.5515, -0.3600,  0.5745, -0.5253,  0.1971, -0.1855,
         0.3682, -0.6500, -0.2198,  0.3350, -0.3886,  0.0579,  0.3550,  0.2581,
         0.0501, -0.0280, -0.3543,  0.4923,  0.0211, -0.5567, -0.4175,  0.0202,
        -0.6047,  0.0560, -0.7323,  0.2402, -0.3815, -0.7331, -0.3326, -0.1322,
        -0.2729,  0.1977, -0.1103,  0.0074])"
assfuck,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
assfucker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
assfukka,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
asshole,"tensor([ 0.1229, -0.3219,  0.3528, -0.5426, -0.3622,  0.3099,  0.0990, -0.1688,
         0.6724,  0.2749,  0.1572, -0.1800, -0.0440, -0.6424,  0.1490,  0.3921,
         0.1970,  0.3011,  0.0784,  0.5144,  0.2782,  0.7847, -0.6969, -0.2751,
         0.4665,  0.3376, -0.0627,  0.5821,  0.5034, -0.3472,  0.3630,  0.0516,
         0.6016, -0.1281, -0.3379, -0.1403, -0.4773, -0.1013,  0.1929, -0.6144,
        -0.0775,  0.6943, -0.0332, -0.3525, -0.2108, -0.0089, -0.2207,  0.3094,
        -0.1748,  0.6745, -0.2075, -0.0281,  0.4004, -0.1088, -0.5665,  0.6287,
         0.2015,  0.2113, -0.4558,  0.2988,  0.2921, -0.3535, -0.5730, -0.4317,
         0.1067, -0.1937, -0.3246, -0.8652, -0.2563, -0.6445, -0.3406,  0.0995,
         0.0130,  0.1835, -0.0040,  0.6764, -0.0070,  0.4006,  0.3443, -0.7408,
        -0.1881, -0.2734,  0.0689,  0.3016,  0.4164,  0.0645, -0.1944, -0.0108,
        -0.2704, -0.0392,  0.0164,  0.4749, -0.3717, -0.4641,  0.4060, -0.5889,
         0.0947, -0.3618, -0.2801,  0.3464])"
