words,embeddings
2 girls 1 cup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
fuckass,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucked,"tensor([ 0.0593,  0.0928,  0.3830, -0.2983, -0.1102, -0.1357, -0.5408,  0.1854,
         0.2202, -0.1768,  0.6942,  0.3718,  0.1280, -0.1981, -0.1433, -0.0864,
        -0.5566,  0.5090,  0.4241,  0.2927,  0.6827, -0.1611,  0.4234, -0.4077,
         0.2561,  0.3334, -0.1053,  0.3113, -0.2840, -0.3335,  0.5000, -0.3347,
         0.3632,  0.3592, -0.2432, -0.1182, -0.1592, -0.0762, -0.3026, -0.4396,
         0.4247,  0.4837,  0.0068, -0.1307, -0.8067,  0.3370, -0.6705,  0.3738,
         0.4374, -0.5525, -0.4637, -0.5126,  0.0705, -0.3129, -1.0122,  0.4945,
         0.8820,  0.9778, -0.0900,  0.2793,  1.2460,  0.0904, -1.4128, -0.8075,
         0.2420,  0.4424, -0.0677,  0.3250,  1.0130, -0.1463,  0.4432, -0.2553,
         0.4390,  0.0902, -0.5917,  0.0817,  0.3916,  0.4051,  0.7147, -0.4582,
        -0.4852,  0.1979, -0.4944,  0.5250,  0.0065,  0.2736,  0.6663, -0.2219,
        -0.8202,  0.2243, -0.2608, -0.4708, -0.0486, -0.4987,  0.7628, -0.7915,
        -0.1302,  0.7921, -0.5960,  0.5116])"
fucker,"tensor([ 1.3754e-01, -1.9809e-01, -3.7445e-01, -9.6258e-04, -4.0504e-01,
         7.1016e-04,  3.7419e-01, -1.7797e-01,  1.0057e+00, -4.0216e-01,
        -6.9638e-01,  3.9396e-01, -3.7206e-01,  7.6850e-02, -1.2078e-01,
         2.0172e-01,  2.1726e-01,  2.6583e-01,  2.3178e-01,  4.9597e-01,
        -3.3572e-01,  6.0143e-01, -5.1319e-01, -4.9780e-02,  2.8373e-02,
         7.5587e-01, -3.8407e-02,  1.1367e-03,  1.2011e-01, -9.2446e-02,
         5.6014e-01, -2.1081e-01,  7.4552e-01, -4.8964e-02,  3.9261e-01,
         4.4484e-01,  1.1847e-01, -2.8472e-01,  1.6982e-01, -4.7434e-01,
        -3.9773e-01,  3.0626e-01, -1.2339e-01,  5.8702e-02,  3.4465e-01,
        -6.5738e-02, -4.3110e-01,  5.6268e-01,  1.4764e-01,  3.7895e-01,
        -2.0072e-01,  1.4410e-01,  8.4901e-02,  2.4417e-01,  2.0775e-01,
         8.2763e-01, -3.7843e-01,  8.2803e-01, -1.0285e-01, -2.9889e-01,
        -2.5829e-01, -2.3462e-01, -6.4514e-01, -2.0967e-01, -2.2347e-01,
         3.5754e-01, -3.2865e-01, -6.9787e-01, -2.6701e-02, -4.6321e-01,
         3.5732e-01,  1.5851e-01, -1.7496e-01,  5.5649e-01,  1.1547e-01,
        -3.8583e-02, -1.9232e-01,  3.0772e-01,  2.8111e-01, -6.0899e-02,
        -2.0193e-01, -1.1465e-01,  4.2209e-01, -2.5534e-01,  5.7953e-01,
        -5.7023e-01,  1.0371e-01, -7.1510e-02,  4.8759e-01, -6.5262e-02,
         3.9842e-02,  5.4256e-01,  1.9684e-01,  1.4900e-01,  2.5189e-01,
        -3.0343e-01, -1.5910e-01,  1.7536e-01, -4.9087e-01,  1.6972e-02])"
fuckers,"tensor([ 1.3529e-01,  2.9771e-01, -4.2728e-01,  1.2399e-01, -8.6705e-01,
        -2.6576e-01, -6.9050e-02,  2.1838e-01,  8.2613e-01, -5.9038e-01,
         1.7515e-01,  5.3213e-01, -4.1675e-01, -1.0895e-01, -4.4129e-02,
         3.7941e-01, -1.6041e-01,  3.4421e-01,  1.3599e-01,  4.8434e-01,
        -2.4317e-02,  7.9264e-01, -6.6394e-01, -4.4289e-01, -1.8907e-01,
         6.5879e-01, -2.0536e-01, -2.5413e-01,  3.8238e-02,  6.4998e-02,
         3.5755e-01, -6.0708e-01,  1.7965e-01, -3.3925e-01,  2.9175e-01,
        -2.7154e-01, -6.8736e-02, -1.6542e-01,  5.6671e-01, -5.1255e-01,
        -1.6576e-01,  4.6843e-02, -4.5057e-01, -4.5161e-01, -2.0480e-01,
        -5.2408e-02, -1.9318e-01,  4.6910e-01, -1.1364e-01,  4.5434e-01,
        -4.0827e-01, -1.1977e-01, -3.2215e-01, -2.0448e-01,  3.2775e-01,
         9.9964e-01,  5.3926e-01,  1.7803e-01, -6.0533e-01, -4.5278e-01,
        -1.4754e-02,  5.4077e-02, -6.4957e-01, -6.7785e-01, -3.2324e-01,
         5.5601e-02, -5.2421e-01, -4.2674e-01, -2.9651e-02, -3.3514e-01,
         2.3096e-01,  2.7829e-01,  1.0532e-01,  8.4637e-02, -3.1879e-01,
         6.0739e-01, -1.0026e-01,  9.1207e-04,  7.9375e-01, -2.6390e-01,
        -9.9394e-02, -8.8635e-02,  2.3676e-05, -1.0879e-01, -2.6579e-01,
        -1.0669e-01, -1.3807e-01, -1.3370e-01, -1.9722e-01,  4.4519e-01,
         1.5908e-01,  1.4558e-01,  6.4991e-01, -2.2634e-01, -2.0835e-01,
        -9.0335e-02, -4.1796e-02, -2.9850e-02, -2.5948e-01, -3.6632e-02])"
fuckface,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckhead,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckheads,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckhole,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckin,"tensor([-0.2088, -0.2410,  0.1995, -0.2540, -0.7360, -0.1797,  0.4591, -0.5324,
         0.4292, -0.2859,  0.1843,  0.3092, -0.0332, -0.1559, -0.3074,  0.3846,
        -0.3049,  0.7198,  0.0046,  0.2314,  0.0089,  0.7882, -0.3063, -0.3671,
         0.0902,  0.4563, -0.4707,  0.1757,  0.1763, -0.3361,  0.3500, -0.1547,
         0.2569,  0.0807,  0.1184, -0.4965, -0.7466,  0.2845,  0.2836, -0.4138,
         0.5382,  0.5746, -0.0221,  0.0410,  0.0826,  0.0255, -0.4657,  0.1886,
        -0.1298,  0.2341, -0.3106, -0.1459, -0.2618, -0.2578, -0.1345,  0.5324,
         1.0390,  0.4951, -0.0408, -0.3356,  0.2966,  0.0744, -1.2945, -0.6645,
        -0.0267,  0.3531, -0.0851, -0.3184, -0.6063, -0.7435, -0.2809,  0.7615,
         0.1989,  0.1693, -0.3776,  0.3022,  0.0990,  0.0681,  0.2920,  0.2335,
        -0.0386,  0.0748,  0.0022,  0.3392, -0.3710, -0.1306,  0.2181, -0.5410,
        -0.3613,  0.7951, -0.0422,  0.1984, -0.0518, -0.1633,  0.7687, -0.4073,
        -0.4033, -0.0115, -0.1063,  0.3977])"
fucking,"tensor([ 0.2267, -0.0556,  0.2993, -1.2877, -0.7606,  0.7058, -0.2314,  0.1925,
         0.5975,  0.2491,  0.2147,  0.5492,  0.0028, -0.1823, -0.2658,  0.0687,
         0.1282,  0.3168, -0.2179,  0.8971,  0.5875,  0.7358, -0.4808, -0.6240,
         0.2843,  0.2653,  0.0570,  0.3906,  0.7023,  0.1265,  0.1001, -0.0865,
         0.6266, -0.0629, -0.1331, -0.3435, -0.5985, -0.0017,  0.3828, -0.4806,
         0.5770,  0.8260,  0.0052, -0.2124, -0.4588,  0.1964, -0.0633,  0.4627,
        -0.3160, -0.0063, -0.4214, -0.0283,  0.3771, -0.2658, -0.9223, -0.2058,
         0.6890,  0.7393, -0.1030, -0.5735,  0.6571,  0.1716, -1.0130, -0.0412,
         0.2571,  0.3918,  0.5002, -0.3586, -0.0762, -0.7575,  0.1539,  0.1550,
         0.4304,  0.3986, -0.1881,  0.1823,  0.0920,  0.5087,  0.3655,  0.0841,
         0.1784, -0.1468, -0.0874,  0.5979, -0.6734, -0.2770,  0.1914, -0.9055,
        -0.1878,  0.1268, -0.0537,  0.3189, -0.1089,  0.0732,  0.2892, -0.9661,
         0.0257,  0.3357, -0.3154,  0.5418])"
fuckings,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckingshitmotherfucker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckme,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckmeat,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucknugget,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucknut,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckoff,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckpuppet,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucks,"tensor([ 0.1284,  0.0480,  0.0718,  0.0087, -0.4652, -0.1270, -0.0266,  0.2252,
         0.2943, -0.3357,  0.4500,  0.1704,  0.7915,  0.2134, -0.0022,  0.4706,
        -0.4466,  0.2902,  0.2411,  0.0459,  0.2407,  0.0341, -0.3968, -0.2128,
        -0.3993,  0.2235, -0.2525,  0.2033,  0.0197,  0.3502,  0.2410,  0.1319,
         0.4071, -0.0626,  0.1837,  0.1403, -0.1554, -0.3829,  0.3862, -0.1258,
         0.2226, -0.0727, -0.1972, -0.0470,  0.0106,  0.0274, -0.4492,  0.3146,
        -0.0948,  0.5975, -0.4017, -0.3146, -0.5922,  0.0256,  0.0247,  0.8422,
         0.2142,  0.5262, -0.4936, -0.1056,  0.6279, -0.4318, -0.4001, -0.3617,
        -0.5420,  0.2733, -0.2289, -0.1651, -0.2991, -0.0849,  0.1603,  0.0125,
         0.1053,  0.2974, -0.2131,  0.1859,  0.0554, -0.2006,  0.6660, -0.0574,
        -0.0686,  0.0706, -0.0389,  0.3686,  0.0954, -0.2686, -0.2441, -0.1404,
        -0.5290, -0.0378, -0.0469, -0.0104,  0.4734, -0.3881,  0.2915, -0.0920,
         0.1313,  0.6225, -0.5650,  0.1238])"
fucktard,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucktoy,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fucktrophy,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckwad,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckwhit,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckwit,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuckyomama,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fudgepacker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fuk,"tensor([-4.2458e-03, -1.1811e+00, -1.6225e-01,  2.7188e-01, -6.7747e-02,
        -4.6153e-01, -4.8910e-01,  2.7722e-02, -7.4717e-02,  3.3070e-01,
         6.4574e-02,  3.7448e-01,  7.8525e-02, -4.5594e-01, -3.0078e-01,
        -2.9782e-01, -5.0055e-01, -2.2644e-01, -6.0592e-01, -1.6856e-01,
         4.9471e-01,  3.0799e-02, -5.5187e-01, -1.4245e-01,  2.9203e-02,
         7.1703e-01,  2.0072e-01,  2.6637e-04, -2.1693e-01,  6.5162e-01,
        -5.7781e-01,  6.7083e-01,  5.9483e-01, -2.5929e-01, -3.1237e-01,
        -2.2912e-01, -6.6354e-02,  1.7438e-01,  8.0940e-01, -4.5578e-01,
         1.3153e-01,  1.3736e-01,  2.5397e-01, -4.8776e-01,  3.6187e-01,
         9.7264e-02, -7.3172e-01,  4.9712e-01,  4.8686e-01,  7.4300e-01,
        -9.7512e-02,  3.1144e-02, -4.9967e-01, -2.8277e-01,  2.8777e-01,
         7.7510e-01,  7.8291e-01,  6.0422e-01, -2.5147e-01,  7.9305e-02,
        -7.1516e-01, -5.6941e-02,  2.9462e-01,  1.0990e+00, -5.2984e-01,
         5.9604e-02,  5.9997e-01, -1.7202e-01, -3.5470e-02, -2.7418e-01,
         1.9231e-01, -2.0467e-01, -4.9165e-01, -7.1991e-01, -8.7532e-01,
        -1.9670e-01,  1.7846e-01,  1.8009e-01,  9.2251e-02, -2.8359e-01,
         8.7277e-02,  5.2881e-01,  8.4478e-01, -5.0493e-01, -2.6545e-01,
        -2.1059e-01, -4.5307e-01, -4.9271e-02,  3.6024e-01,  7.9973e-01,
        -6.1205e-01,  3.9148e-02,  1.0397e+00,  5.4162e-03,  6.5432e-01,
        -5.7490e-01,  5.3749e-01, -8.2910e-01, -3.9865e-01, -9.4692e-01])"
fuker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fukker,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fukkin,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
fukking,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
